;Cod Empresa;CNPJ;Nome Empresa;Receber / Pagar;Código da Fatura;Documento Fatura;Série;Data de Emissão;Data de Vencimento;Data de Pagamento/Baixa;Valor Total R$;Parcela;Prazo;Total de Parcelas;Observação;Gerar Vencimento Fixo;Forma PGTO;Taxa da administradora de Cartão (%);Cliente/ Fornecedor;Nome Cliente/Fornecedor;Desconto;Adiantamento;N° do Pedido;Comprador/Vendedor;Histórico;Conta débito;Conta crédito;Conta de fluxo de caixa;Centro de custo;Excluída;Código Histórico;Indice Conta débito;Código Conta débito;Indice Conta crédito;Código Conta crédito;Código Conta de fluxo de caixa;Número Nota;Data de Exclusao;Cód Usuario Exclusão;Nome Usuario Exclusão;Cód Usuario Lançamento;Nome Usuario Lancamento;Cód Usuario Baixa;Nome Usuario Baixa;Valor Pago/Baixado
0;10;2,29E+13;401262 - SHOP - LP MACEIÓ SHOPPING - AL;Pagar;831692;0;0;01/11/2021;26/11/2021;;680.0;1;0;1;12078310;N;Crediário;0;1002557;Companhia Energetica de Alagoas - Ceal;0;Não;0;46.0;ENERGIA ELETRICA OCUPAÇÃO;ENERGIA ELETRICA;FORNECEDORES DIVERSOS;FLUXO DE CAIXA;2;Sim;260;03.05.05.04;424;02.01.01.01.02;69;199;;26/10/2021;63568.0;Paula Melo;63568;Paula Melo;;;0
1;10;2,29E+13;401262 - SHOP - LP MACEIÓ SHOPPING - AL;Pagar;831731;0;0;01/11/2021;26/11/2021;;680.0;1;0;1;12078310;N;Crediário;0;1002557;Companhia Energetica de Alagoas - Ceal;0;Não;0;46.0;ENERGIA ELETRICA OCUPAÇÃO;ENERGIA ELETRICA;FORNECEDORES DIVERSOS;FLUXO DE CAIXA;2;Sim;260;03.05.05.04;424;02.01.01.01.02;69;199;;26/10/2021;63568.0;Paula Melo;63568;Paula Melo;;;0
2;10;2,29E+13;401262 - SHOP - LP MACEIÓ SHOPPING - AL;Pagar;833802;0;0;01/11/2021;05/10/2021;08/10/2021;1279.66;1;0;1;FILIAL;N;Crediário;0;1013651;CONCISA ADM. E NEG. IMOBILIARIOS LTDA;0;Não;0;46.0;PRÓ-LABORE MARCELINO;PRO-LABORES;PRÓ-LABORE A PAGAR;FLUXO DE CAIXA;2;Não;283;03.05.02.01.23;435;02.01.01.03.08;489;199;;;;;63568;Paula Melo;63568.0;Paula Melo;1279,66
3;10;2,29E+13;401262 - SHOP - LP MACEIÓ SHOPPING - AL;Pagar;835825;0;0;01/11/2021;01/11/2021;08/11/2021;4900.0;1;0;1;;N;Crediário;0;1002550;Soma Construtora e Empreendimentos Ltda;0;Não;0;46.0;ALUGUÉIS A PAGAR;ALUGUÉIS;FORNECEDORES DIVERSOS;FLUXO DE CAIXA;2;Não;15;03.05.05.01;421;02.01.01.01.02;69;199;;;;;63568;Paula Melo;63568.0;Paula Melo;4900
4;10;2,29E+13;401262 - SHOP - LP MACEIÓ SHOPPING - AL;Pagar;835826;0;0;01/11/2021;01/11/2021;;644.47;1;0;1;12078310;N;Crediário;0;1002557;Companhia Energetica de Alagoas - Ceal;0;Não;0;46.0;ENERGIA ELETRICA OCUPAÇÃO;ENERGIA ELETRICA;FORNECEDORES DIVERSOS;FLUXO DE CAIXA;2;Sim;260;03.05.05.04;424;02.01.01.01.02;69;199;;26/10/2021;63568.0;Paula Melo;63568;Paula Melo;;;0
5;10;2,29E+13;401262 - SHOP - LP MACEIÓ SHOPPING - AL;Pagar;835827;0;0;01/11/2021;05/11/2021;04/11/2021;13260.26;1;0;1;;N;Crediário;0;1017667;JABUR CENTER COUROS EIRELI - EPP FL;0;Não;0;46.0;SALÁRIOS A PAGAR;DESPESA SALÁRIOS;SALÁRIOS A PAGAR;FLUXO DE CAIXA;2;Não;106;03.05.02.01.01;232;02.01.01.03.01;80;199;;;;;63568;Paula Melo;63568.0;Paula Melo;13260,26
6;10;2,29E+13;401262 - SHOP - LP MACEIÓ SHOPPING - AL;Pagar;835828;0;0;01/11/2021;05/11/2021;05/11/2021;1279.66;1;0;1;FILIAL;N;Crediário;0;1013651;CONCISA ADM. E NEG. IMOBILIARIOS LTDA;0;Não;0;46.0;PRÓ-LABORE MARCELINO;PRO-LABORES;PRÓ-LABORE A PAGAR;FLUXO DE CAIXA;2;Não;283;03.05.02.01.23;435;02.01.01.03.08;489;199;;;;;63568;Paula Melo;63568.0;Paula Melo;1279,66
7;10;2,29E+13;401262 - SHOP - LP MACEIÓ SHOPPING - AL;Pagar;835829;0;0;01/11/2021;05/11/2021;08/11/2021;3500.0;1;0;1;;N;Crediário;0;1007233;RPM SERVIÇOS ADMINISTRATIVOS PARA EMPRESAS LTDA;0;Não;0;46.0;SERVIÇOS PRESTADOS - PJ;SERVIÇOS PRESTADOS PJ;FORNECEDORES DIVERSOS;FLUXO DE CAIXA;2;Não;306;03.05.02.03.23;492;02.01.01.01.02;69;199;;;;;63568;Paula Melo;63568.0;Paula Melo;3500
8;10;2,29E+13;401262 - SHOP - LP MACEIÓ SHOPPING - AL;Pagar;835830;0;0;01/11/2021;05/11/2021;04/11/2021;1125.0;1;0;1;;N;Crediário;0;1003130;JOSEFA FREIRE DE ARAÚJO;0;Não;0;46.0;SERVIÇOS PRESTADOS - PF;SERVIÇOS PRESTADOS PF;FORNECEDORES DIVERSOS;FLUXO DE CAIXA;2;Não;305;03.05.02.03.22;491;02.01.01.01.02;69;199;;;;;63568;Paula Melo;63568.0;Paula Melo;1125
9;10;2,29E+13;401262 - SHOP - LP MACEIÓ SHOPPING - AL;Pagar;835831;0;0;01/11/2021;05/11/2021;05/11/2021;211.0;1;0;1;;N;Crediário;0;1002565;SERVIPA SERVIÇOS GERAIS LTDA;0;Não;0;46.0;VIGILÂNCIA E MONITORAMENTO;VIGILÂNCIA E MONITORAMENTO;FORNECEDORES DIVERSOS;FLUXO DE CAIXA;2;Não;295;03.05.02.02.08;493;02.01.01.01.02;69;199;;;;;63568;Paula Melo;63568.0;Paula Melo;211
